ID,CATLEVEL,DESCRIPTION
0,1,DEFAULT
0,2,DEFAULT
0,3,Custom Attribute
1,1,Treatment Planning: Data Entry
10,1,Radiation Safety
10000,1,Registration
10001,2,Name/IDs/Personal
10002,3,Custom attribute SL 1 (Most Severe)
10003,3,Custom Attribute SL 2
10004,3,Custom Attribute SL 3
10005,3,Custom Attribute SL 4
10006,3,Custom attribute SL 5 (Least Severe)
10007,3,Full name incorr./miss
10008,3,Full name incorr./miss.
10009,3,Birthy date incorr./miss.
10010,3,Age incorr./miss.
10011,3,Medical record no. incorr./miss.
10012,2,Gender incorr./miss.
10013,3,Custom attribute SL 1 (Most Severe)
10014,3,Custom Attribute SL 2
10015,3,Custom Attribute SL 3
10016,3,Custom Attribute SL 4
10017,3,Custom attribute SL 5 (Least Severe)
10018,3,Gender incorr./miss.
10019,3,SS no. incorr./miss.
10020,3,Duplicate patient entry
10021,3,Birth date incorr./miss.
10022,3,Primary payer incorr./miss.
10023,2,Demographics
10024,3,Custom attribute SL 1 (Most Severe)
10025,3,Custom Attribute SL 2
10026,3,Custom Attribute SL 3
10027,3,Custom Attribute SL 4
10028,3,Custom attribute SL 5 (Least Severe)
10029,3,Medical record no. incorr./miss.
10030,3,RO record no. incorr./miss.
10031,3,Birth date incorr./miss.
10032,3,Age incorr./miss.
10033,3,Birth place incorr./miss.
10034,3,Gender incorr./miss.
10035,3,SS no. incorr./miss.
10036,3,Race incorr./miss.
10037,3,Religion incorr./miss.
10038,3,Martial status incorr./miss.
10039,3,Children incorr./miss.
10040,3,Language incorr./miss.
10041,2,Severity Level 1
10042,3,Custom attribute SL 1 (Most Severe)
10043,4,ggg
10044,3,Birth date incorr./miss.
10045,3,Age incorr./miss.
10046,3,Medical record no. incorr./miss.
10047,3,Gender incorr./miss.
10048,3,SS no. incorr./miss.
10049,3,Duplicate patient entry
10050,3,Primary payer incorr./miss.
10051,3,Custom attribute SL 1 (Most Severe)
10052,3,Custom attribute SL 2
10053,3,Custom attribute SL 3
10054,3,Custom attribute SL 4
10055,3,Custom attribute SL 5 (Least Severe)
10056,3,RO record no. incorr./miss.
10057,3,Birth date incorr./miss.
10058,3,Age incorr./miss.
10059,3,Birth place incorr./miss.
10060,3,Gender incorr./miss.
10061,3,SS no. incorr./miss.
10062,3,Race incorr./miss.
10063,3,Religion incorr./miss.
10064,3,Marital status incorr./miss.
10065,3,Children incorr./miss.
10066,3,Language incorr./miss.
10067,3,Custom attribute SL 1 (Most Severe)
10068,3,Custom attribute SL 2
10069,3,Custom attribute SL 3
10070,3,Custom attribute SL 4
10071,3,Custom attribute SL 5 (Least Severe)
10072,1,Admission
10073,2,Admission
10074,3,Diagnosis incorr./miss.
10075,3,Histology incorr./miss.
10076,3,H/P grade incorr./miss.
10077,3,TNM stage incorr./miss.
10078,3,Treatment intent incorr./miss.
10079,3,Surgery incorr./miss.
10080,3,Chemotherapy incorr./miss.
10081,3,Previous RT incorr./miss.
10082,3,Special precautions incorr./miss.
10083,3,Admit date/time incorr./miss.
10084,3,Discharge date incorr./miss.
10085,3,Expiration date incorr./miss.
10086,3,Transportation incorr./miss.
10087,3,In/outpatient incorr./miss.
10088,3,Nursing unit incorr./miss.
10089,3,Nurse incorr./miss.
10090,3,Informed consent not signed/miss.
10091,3,Custom attribute SL 1 (Most Severe)
10092,3,Custom attribute SL 2
10093,3,Custom attribute SL 3
10094,3,Custom attribute SL 4
10095,3,Custom attribute SL 5 (Least Severe)
10096,2,Attending
10097,3,Department incorr./miss.
10098,3,Attending physician incorr./miss.
10099,3,Attending resident incorr./miss.
1010,3,Treatment site
10100,3,Custom attribute SL 1 (Most Severe)
10101,3,Custom attribute SL 2
10102,3,Custom attribute SL 3
10103,3,Custom attribute SL 4
10104,3,Custom attribute SL 5 (Least Severe)
10105,2,Referral
10106,3,Primary physician incorr./miss.
10107,3,Referring physician incorr./miss.
10108,3,Referring facility incorr./miss.
10109,3,Referred to facility incorr./miss.
1011,3,Plan identification
10110,3,Custom attribute SL 1 (Most Severe)
10111,3,Custom attribute SL 2
10112,3,Custom attribute SL 3
10113,3,Custom attribute SL 4
10114,3,Custom attribute SL 5 (Least Severe)
10115,2,Home/Work
10116,3,Home address incorr./miss.
10117,3,Home phone incorr./miss.
10118,3,Work address incorr./miss.
10119,3,Work phone incorr./miss.
1012,3,Field names and numbers
10120,3,Custom attribute SL 1 (Most Severe)
10121,3,Custom attribute SL 2
10122,3,Custom attribute SL 3
10123,3,Custom attribute SL 4
10124,3,Custom attribute SL 5 (Least Severe)
10125,2,Relative
10126,3,Relationship incorr./miss.
10127,3,Full name incorr./miss.
10128,3,Home address incorr./miss.
10129,3,Home phone incorr./miss.
10130,3,Work address incorr./miss.
10131,3,Work phone incorr./miss.
10132,3,Custom attribute SL 1 (Most Severe)
10133,3,Custom attribute SL 2
10134,3,Custom attribute SL 3
10135,3,Custom attribute SL 4
10136,3,Custom attribute SL 5 (Least Severe)
10137,2,Emergency
10138,3,Relationship incorr./miss.
10139,3,Full name incorr./miss.
10140,3,Address incorr./miss.
10141,3,Home phone incorr./miss.
10142,3,Work phone incorr./miss.
10143,3,Custom attribute SL 1 (Most Severe)
10144,3,Custom attribute SL 2
10145,3,Custom attribute SL 3
10146,3,Custom attribute SL 4
10147,3,Custom attribute SL 5 (Least Severe)
10148,2,Home Care
10149,3,Facility/hospice incorr./miss.
10150,3,Phone incorr./miss.
10151,3,Contact nurse incorr./miss.
10152,3,Contact social worker incorr./miss.
10153,3,Patient Self Determination Act (PSDA) info not given
10154,3,"PSDA info given, date not recorded"
10155,3,Custom attribute SL 1 (Most Severe)
10156,3,Custom attribute SL 2
10157,3,Custom attribute SL 3
10158,3,Custom attribute SL 4
10159,3,Custom attribute SL 5 (Least Severe)
10160,1,Scheduling
10161,2,Appointments
10162,3,Wrong patient given appointment
10163,3,Appointment not scheduled
10164,3,Conflict of appointment dates/times
10165,3,Appointment activity incorr./miss.
10166,3,Appointment dates incorr./miss.
10167,3,Appointment times incorr./miss.
10168,3,No. of appointments incorr./miss.
10169,3,Appointment duration(s) incorr./miss.
10170,3,Assigning staff incorr./miss.
10171,3,Appointment location incorr./miss.
10172,3,Custom attribute SL 1 (Most Severe)
10173,3,Custom attribute SL 2
10174,3,Custom attribute SL 3
10175,3,Custom attribute SL 4
10176,3,Custom attribute SL 5 (Least Severe)
10177,1,Radiographic Simulation
10178,2,Patient Setup
10179,3,Sim field no. incorr./miss.
10180,3,Sim field name incorr./miss.
10181,3,Machine incorr./miss.
10182,3,Patient position not isocentric to midline (SAD)
10183,3,Patient position not to specified SSD
10184,3,AP SSD miss.
10185,3,PA SSD miss.
10186,3,RL/Medial SSD miss.
10187,3,LL/Medial SSD miss.
10188,3,Calc. point SSD miss.
10189,3,SFD miss./incomplete
10190,3,Table vertical does not agree w/SSD
10191,3,SSD read incorrectly
10192,3,Separation does not agree w/SSD
