ID,ISLEAF,ISSHORTTERM,PARENT_ID,CAT1,CAT2,DESCRIPTION
1000000,1,1,0,1,0,Treatment Planning: Data Entry
2000000,1,1,0,2,0,R&V
3000000,1,1,0,3,0,Patient Simulation
3080000,1,1,0,8,0,Treatment of Patient
4000000,1,1,0,9,0,Quality Assurance
5000000,1,1,0,10,0,Radiation Safety
5090000,1,1,0,0,0,Custom Attribute
10000000,1,0,0,0,0,Additional training
11000000,1,0,0,0,0,Procedures
12000000,1,0,0,0,0,Increased oversight or supervision
13000000,1,0,0,0,0,Increased attention to detail
14000000,1,0,0,0,0,Improved communication through periodic meetings
15000000,1,0,0,0,0,Evaluation of workload and staffing levels
16000000,1,0,0,0,0,Hiring of additional personnel/expertise
17000000,1,0,0,0,0,Improved equipment/instrumentation
18000000,1,0,0,0,0,New machine
19000000,1,0,0,0,0,Internal audits with recommendations
20000000,1,0,0,0,0,External audits with recommendations
21000000,1,0,0,0,0,Review of key processes
22000000,1,0,0,0,0,Establishment of continuous improvement program
23000000,1,0,0,0,0,Custom Attribute
L10-11691-1,1,0,0,10,11691,Decreased interruptions/distractions
L10-11691-10,1,0,0,10,11691,New procedures
L10-11691-11,1,0,0,10,11691,Improved procedure
L10-11691-12,1,0,0,10,11691,Increased attention to detail
L10-11691-13,1,0,0,10,11691,Procedural checklist
L10-11691-14,1,0,0,10,11691,Custom Attribute
L10-11691-15,1,0,0,10,11691,"Increased oversight, supervision, or leadership"
L10-11691-16,1,0,0,10,11691,Improved methods of communication
L10-11691-17,1,0,0,10,11691,Improved communication thru team huddles or meetings
L10-11691-18,1,0,0,10,11691,Additional training
L10-11691-19,1,0,0,10,11691,Review of key processes
L10-11691-2,1,0,0,10,11691,Evaluation of workload and staffing levels
L10-11691-20,1,0,0,10,11691,Establishment of process improvement program
L10-11691-21,1,0,0,10,11691,Establishment of safety culture program
L10-11691-3,1,0,0,10,11691,Hiring of additional personnel/expertise
L10-11691-4,1,0,0,10,11691,New or upgraded software/machine
L10-11691-5,1,0,0,10,11691,Improved IT support/networking
L10-11691-6,1,0,0,10,11691,Improved vendor support/service
L10-11691-7,1,0,0,10,11691,New or improved equipment/instrumentation
L10-11691-8,1,0,0,10,11691,Internal/external audits with recommendations
L10-11691-9,1,0,0,10,11691,Creation of team to implement action plan
L10-11699-1,1,0,0,10,11699,Decreased interruptions/distractions
L10-11699-10,1,0,0,10,11699,Evaluation of workload and staffing levels
L10-11699-11,1,0,0,10,11699,Hiring of additional personnel/expertise
L10-11699-12,1,0,0,10,11699,New or upgraded software/machine
L10-11699-13,1,0,0,10,11699,Improved IT support/networking
L10-11699-14,1,0,0,10,11699,Improved vendor support/service
L10-11699-15,1,0,0,10,11699,New or improved equipment/instrumentation
L10-11699-16,1,0,0,10,11699,Internal/external audits with recommendations
L10-11699-17,1,0,0,10,11699,Creation of team to implement action plan
L10-11699-18,1,0,0,10,11699,New procedures
L10-11699-19,1,0,0,10,11699,Improved procedure
L10-11699-2,1,0,0,10,11699,Increased attention to detail
L10-11699-20,1,0,0,10,11699,Procedural checklist
L10-11699-21,1,0,0,10,11699,Custom Attribute
L10-11699-3,1,0,0,10,11699,"Increased oversight, supervision, or leadership"
L10-11699-4,1,0,0,10,11699,Improved methods of communication
L10-11699-5,1,0,0,10,11699,Improved communication thru team huddles or meetings
L10-11699-6,1,0,0,10,11699,Additional training
L10-11699-7,1,0,0,10,11699,Review of key processes
L10-11699-8,1,0,0,10,11699,Establishment of process improvement program
L10-11699-9,1,0,0,10,11699,Establishment of safety culture program
L10-11754-1,1,0,0,10,11754,Additional training
L10-11754-10,1,0,0,10,11754,Improved equipment/instrumentation
L10-11754-11,1,0,0,10,11754,New machine/equipment
L10-11754-12,1,0,0,10,11754,Internal audits with recommendations
L10-11754-13,1,0,0,10,11754,External audits with recommendations
L10-11754-14,1,0,0,10,11754,Review of key processes
L10-11754-15,1,0,0,10,11754,Establishment of continuous improvement program
L10-11754-16,1,0,0,10,11754,Custom Attribute
L10-11754-2,1,0,0,10,11754,New procedures
L10-11754-3,1,0,0,10,11754,Improved procedure
L10-11754-4,1,0,0,10,11754,Procedural checklist
L10-11754-5,1,0,0,10,11754,Increased oversight or supervision
L10-11754-6,1,0,0,10,11754,Increased attention to detail
L10-11754-7,1,0,0,10,11754,Improved communication through periodic meetings
L10-11754-8,1,0,0,10,11754,Evaluation of workload and staffing levels
L10-11754-9,1,0,0,10,11754,Hiring of additional personnel/expertise
L10-11756-1,1,0,0,10,11756,Decreased interruptions/distractions
L10-11756-10,1,0,0,10,11756,Evaluation of workload and staffing levels
L10-11756-11,1,0,0,10,11756,Hiring of additional personnel/expertise
L10-11756-12,1,0,0,10,11756,New or upgraded software/machine
L10-11756-13,1,0,0,10,11756,Improved IT support/networking
L10-11756-14,1,0,0,10,11756,Improved vendor support/service
L10-11756-15,1,0,0,10,11756,New or improved equipment/instrumentation
L10-11756-16,1,0,0,10,11756,Internal/external audits with recommendations
L10-11756-17,1,0,0,10,11756,Creation of team to implement action plan
L10-11756-18,1,0,0,10,11756,New procedures
L10-11756-19,1,0,0,10,11756,Improved procedure
L10-11756-2,1,0,0,10,11756,Increased attention to detail
L10-11756-20,1,0,0,10,11756,Procedural checklist
L10-11756-21,1,0,0,10,11756,Custom Attribute
L10-11756-3,1,0,0,10,11756,"Increased oversight, supervision, or leadership"
L10-11756-4,1,0,0,10,11756,Improved methods of communication
L10-11756-5,1,0,0,10,11756,Improved communication thru team huddles or meetings
L10-11756-6,1,0,0,10,11756,Additional training
L10-11756-7,1,0,0,10,11756,Review of key processes
L10-11756-8,1,0,0,10,11756,Establishment of process improvement program
L10-11756-9,1,0,0,10,11756,Establishment of safety culture program
L10-11758-1,1,0,0,10,11758,Decreased interruptions/distractions
L10-11758-10,1,0,0,10,11758,Evaluation of workload and staffing levels
L10-11758-11,1,0,0,10,11758,Hiring of additional personnel/expertise
L10-11758-12,1,0,0,10,11758,New or upgraded software/machine
L10-11758-13,1,0,0,10,11758,Improved IT support/networking
L10-11758-14,1,0,0,10,11758,Improved vendor support/service
L10-11758-15,1,0,0,10,11758,New or improved equipment/instrumentation
L10-11758-16,1,0,0,10,11758,Internal/external audits with recommendations
L10-11758-17,1,0,0,10,11758,Creation of team to implement action plan
L10-11758-18,1,0,0,10,11758,New procedures
L10-11758-19,1,0,0,10,11758,Improved procedure
L10-11758-2,1,0,0,10,11758,Increased attention to detail
L10-11758-20,1,0,0,10,11758,Procedural checklist
L10-11758-21,1,0,0,10,11758,Custom Attribute
L10-11758-3,1,0,0,10,11758,"Increased oversight, supervision, or leadership"
L10-11758-4,1,0,0,10,11758,Improved methods of communication
L10-11758-5,1,0,0,10,11758,Improved communication thru team huddles or meetings
L10-11758-6,1,0,0,10,11758,Additional training
L10-11758-7,1,0,0,10,11758,Review of key processes
L10-11758-8,1,0,0,10,11758,Establishment of process improvement program
L10-11758-9,1,0,0,10,11758,Establishment of safety culture program
L10-11760-1,1,0,0,10,11760,Decreased interruptions/distractions
L10-11760-10,1,0,0,10,11760,Evaluation of workload and staffing levels
L10-11760-11,1,0,0,10,11760,Hiring of additional personnel/expertise
L10-11760-12,1,0,0,10,11760,New or upgraded software/machine
L10-11760-13,1,0,0,10,11760,Improved IT support/networking
L10-11760-14,1,0,0,10,11760,Improved vendor support/service
L10-11760-15,1,0,0,10,11760,New or improved equipment/instrumentation
L10-11760-16,1,0,0,10,11760,Internal/external audits with recommendations
L10-11760-17,1,0,0,10,11760,Creation of team to implement action plan
L10-11760-18,1,0,0,10,11760,New procedures
L10-11760-19,1,0,0,10,11760,Improved procedure
L10-11760-2,1,0,0,10,11760,Increased attention to detail
L10-11760-20,1,0,0,10,11760,Procedural checklist
L10-11760-21,1,0,0,10,11760,Custom Attribute
L10-11760-3,1,0,0,10,11760,"Increased oversight, supervision, or leadership"
