ID,CATEGORY1_ID,CATEGORY2_ID,ATTRIBUTE_ID,SL,IS_KEY,IS_POST,CODE,EXTENDABLE,ROLE_CODES,REG_VIOLATION,POSSIBLE_VIOLATION,CLIN_SIGNIFICANT,SIGNIFICANT_ERROR,MISADMIN,RECORDABLE,INTENT_METHOD_APPLICABLE,CORRECTION_ROLES,ACR_STANDARDS,ACRO_STANDARDS,JCAHO_STANDARDS,FDA_STANDARDS,CMS_STANDARDS,STATE_STANDARDS,NRC_STANDARDS,AAPM_STANDARDS,RPS_STANDARDS,OCCURRENCE,DETECTION,IAEA_STANDARDS
0-10-11691-11722,10,11691,11722,2,0,1,,0,UAR,1,0,0,0,0,0,0,TU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,5,3,NULL
0-10-11691-11724,10,11691,11724,2,0,1,,0,UAR,1,0,0,0,0,0,0,TU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11691-11725,10,11691,11725,2,0,1,,0,UAR,1,0,0,0,0,0,0,TU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11691-11726,10,11691,11726,2,0,1,,0,UAR,1,0,0,0,0,0,0,TU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11691-11727,10,11691,11727,2,0,1,,0,UAR,1,0,0,0,0,0,0,TU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11691-11728,10,11691,11728,2,0,1,,0,UAPR,0,1,0,0,0,0,0,PTU,Post-Tx Stds\ACR Post Std15.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,2,3,NULL
0-10-11691-11729,10,11691,11729,1,0,1,,1,UAR,0,0,0,1,0,0,0,TU,,,,,,,,,,1,1,NULL
0-10-11691-11730,10,11691,11730,2,0,1,,1,UA,0,0,0,0,0,0,0,TU,,,,,,,,,,1,1,NULL
0-10-11691-11731,10,11691,11731,3,0,1,,1,UA,0,0,0,0,0,0,0,TU,,,,,,,,,,1,1,NULL
0-10-11691-11732,10,11691,11732,4,0,1,,1,UA,0,0,0,0,0,0,0,TU,,,,,,,,,,1,1,NULL
0-10-11691-11733,10,11691,11733,5,0,1,,1,UA,0,0,0,0,0,0,0,TU,,,,,,,,,,1,1,NULL
0-10-11699-11734,10,11699,11734,2,0,1,,0,APR,1,0,0,0,0,0,0,P,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,6,NULL
0-10-11699-11736,10,11699,11736,2,0,1,,0,APR,1,0,0,0,0,0,0,P,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,2,5,NULL
0-10-11699-11737,10,11699,11737,2,0,1,,0,APR,1,0,0,0,0,0,0,P,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11699-11738,10,11699,11738,2,0,1,,0,AP,0,1,0,0,0,0,0,P,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,2,5,NULL
0-10-11699-11743,10,11699,11743,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11699-11744,10,11699,11744,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
0-10-11699-11745,10,11699,11745,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Pre-Tx Stds\ACRO Pre Std14.htm,,,,,,,,1,1,NULL
0-10-11699-11746,10,11699,11746,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,1,NULL
0-10-11699-11747,10,11699,11747,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,1,NULL
0-10-11699-11748,10,11699,11748,2,0,1,,0,APR,1,0,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,2,3,NULL
0-10-11699-12432,10,11699,12432,2,0,1,,0,AP,0,1,0,0,0,0,0,AP,Post-Tx Stds\ACR Post Std16.htm,Post-Tx Stds\ACRO Post Std15.htm,,,,,,,,1,2,NULL
