TASKID,TITLE,DESCRIPTION,MOREINFO,USERID,GROUPID,CREATED,LASTOPENED,ACTION,SUBACTION,ARTIFACTID,STATUS,DELETED
207,Deviation Approval Required,Chart# XXX: Review unintended deviation,Adnormal lab results not reported,,A,18:22.0,18:22.0,2,1,144,4,0
208,Deviation Approval Required,Chart# XXX: Review unintended deviation,Custom attribute SL 4,,A,34:54.0,34:54.0,2,1,145,4,0
209,Deviation Approval Required,Chart# XXX: Review unintended deviation,Adnormal lab results not reported,,A,48:32.0,48:32.0,2,1,147,4,0
210,Deviation Approval Required,Chart# XXX: Review unintended deviation,Adnormal lab results not reported,,A,51:30.0,51:30.0,2,1,148,4,0
211,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,19:19.0,19:19.0,2,1,149,4,0
212,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,22:08.0,22:08.0,2,1,150,4,0
213,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,22:55.0,22:55.0,2,1,151,4,0
214,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,23:40.0,23:40.0,2,1,152,4,0
215,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,24:29.0,24:29.0,2,1,153,4,0
216,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,28:37.0,28:37.0,2,1,154,4,0
217,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,30:17.0,30:17.0,2,1,155,4,0
218,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,31:30.0,31:30.0,2,1,156,4,0
219,Deviation Approval Required,Chart# XXX: Review unintended deviation,Medical record no. incorr./miss.,,A,32:22.0,32:22.0,2,1,157,4,0
220,Deviation Approval Required,Chart# XXX: Review unintended deviation,Custom attribute SL 3,,A,52:55.0,52:55.0,2,1,158,4,0
221,Deviation Approval Required,Chart# XXX: Review unintended deviation,Custom attribute SL 3,,A,54:22.0,54:22.0,2,1,158,4,0
222,Deviation Approval Required,Chart# XXX: Review unintended deviation,Custom attribute SL 3,,A,03:16.0,03:16.0,2,1,159,4,0
223,Deviation Approval Required,Chart# XXX: Review unintended deviation,Appointment not scheduled,,A,39:17.0,39:17.0,2,1,160,4,0
224,Deviation Approval Required,Chart# XXX: Review unintended deviation,Conflict of appointment dates/times,,A,07:42.0,07:42.0,2,1,161,4,0
225,Deviation Approval Required,Chart# XXX: Review unintended deviation,Conflict of appointment dates/times,,A,11:54.0,11:54.0,2,1,161,4,0
226,Deviation Approval Required,Chart# XXX: Review unintended deviation,Appointment not scheduled,,A,36:28.0,36:28.0,2,1,162,4,0
227,Deviation Approval Required,Chart# SYS_QA: Review unintended deviation,Custom attribute SL 4,,A,34:02.0,34:02.0,2,1,163,4,0
228,Deviation Approval Required,Chart# XXX: Review unintended deviation,Appointment not scheduled,,A,09:26.0,09:26.0,2,1,164,4,0
229,Deviation Approval Required,Chart# XXX: Review unintended deviation,Appointment not scheduled,,A,59:55.0,59:55.0,2,1,165,4,0
